Date,Time,CCNumber,Amount,CCType,CCExpires,CVV2,GivenName,MiddleInitial,Surname,ZipCode,TelephoneNumber,MerchantID,TransactionID
1/1/2015,05:31:01,4556565996977130,815,Visa,16-Jun,264,Vickie,B,Meyers,36104,334-220-6305,Goodwill,434203832
1/1/2015,05:31:01,4556609574017080,590,Visa,17-Dec,317,Piuque,G,Saldivar,97401,541-244-0829,Goodwill,456055929
1/1/2015,05:31:01,4716508629437460,1,Visa,18-Mar,702,Wayne,P,Branch,46142,317-859-2185,HouseMart_2191,457008217
1/1/2015,05:31:01,4929293545160870,88,Visa,20-Mar,188,Johanna,R,Kirsch,36693,251-680-9009,WalmartMerrill,475760517
1/1/2015,05:32:17,4716820542158100,1,Visa,19-Dec,76,Matthew,D,Pierce,6118,860-569-9855,HouseMart_2191,698902657
1/1/2015,05:33:33,5576541266224710,735,MasterCard,20-Jan,375,Lihuel,Z,Salgado,2914,401-837-1892,Goodwill,704837269
1/1/2015,05:34:49,5422918570714760,529,MasterCard,17-Apr,207,Orígenes,A,Carrera,89801,775-777-4137,HouseMart_1115,719465828
1/1/2015,05:36:05,5290249369817060,88,MasterCard,16-Feb,557,Trinity,A,Sierra,72210,501-733-7892,WalmartMerrill,723457174
1/1/2015,05:37:21,4716173779708510,814,Visa,20-Dec,655,Stefan,A,Kruger,56666,218-554-2204,LegoInsurance,746590204
1/1/2015,05:38:37,4532640485648680,500,Visa,17-Nov,108,Geraldo,T,Mena,77901,361-570-9194,HouseMart_1115,806189811
1/1/2015,05:39:53,4539269460863610,317,Visa,16-Mar,711,Michael,A,Rawlings,29210,803-840-8017,BOFAATM_SE1441,822714970
1/1/2015,05:41:09,5441037758594110,650,MasterCard,19-Apr,255,Juliane,B,Herz,45202,513-659-8496,HouseMart_1115,898665259
1/1/2015,06:21:15,5377676458878540,131,MasterCard,17-Jan,135,Robert,S,Wilson,40507,859-281-6149,AMZN_A123,902156704
1/1/2015,06:23:10,4485184011978130,260,Visa,16-Jul,824,Leocadio,Q,Garibay,16101,724-657-5526,HouseMart_2191,916995664
1/1/2015,06:23:11,4539093512992630,1466,Visa,17-Oct,263,Luca,M,Pfeifer,46625,574-203-8977,HouseMart_2191,997431807
1/1/2015,06:23:12,4916307044908460,915,Visa,20-Jan,89,Anthony,L,Hoard,61820,217-239-0171,HouseMart_2191,1050969583
1/1/2015,06:23:13,4929523063334220,1210,Visa,18-Jun,521,Cloe,A,Sánchez,77480,979-647-6558,HouseMart_2191,1094205772
1/1/2015,06:23:14,4716508629437460,627,Visa,18-Mar,702,Wayne,P,Branch,46142,317-859-2185,HouseMart_2191,1094553502
1/1/2015,06:23:15,4716820542158100,1400,Visa,19-Dec,76,Matthew,D,Pierce,6118,860-569-9855,HouseMart_2191,1162907465
1/1/2015,06:34:17,5452317798699750,867,MasterCard,17-Sep,329,Saturno,I,Gutiérrez,49508,231-682-3359,HouseMart_1115,1179544793
1/1/2015,06:47:19,4485164680178980,282,Visa,18-Mar,799,Michael,P,Carrillo,10004,212-514-5002,HouseMart_2000,1180742974
1/1/2015,07:00:21,5483037601607500,440,MasterCard,20-Jul,207,Jeremiah,M,Jimínez,56711,218-223-0155,BOFAATM_SE1441,1192455308
1/1/2015,07:13:23,5109263768118990,194,MasterCard,20-Aug,264,Erik,C,Bayer,77032,832-876-0710,AMZN_F01,1223505907
1/1/2015,07:26:25,4539119801792790,323,Visa,18-Apr,892,Jörg,S,Köhler,53203,414-755-9189,BOFAATM_SE1441,1286761336
1/1/2015,07:39:27,4916150441765600,1,Visa,19-Aug,922,Kurt,G,White,80265,303-218-8640,HouseMart_2191,1359045057
1/1/2015,07:52:29,4716999452437130,1,Visa,19-Apr,45,Petra,S,Schweitzer,13815,607-337-4912,HouseMart_2191,1420454393
1/1/2015,08:05:31,4556727559241470,373,Visa,17-Feb,855,Dwayne,V,Perkins,90017,805-206-1209,WalmartValpo,1468485287
1/1/2015,08:18:33,5500368268166670,133,MasterCard,20-Aug,35,Alfred,R,Allen,92614,562-582-3647,PAYPAL-R15,1478295264
1/1/2015,08:31:35,4916083857771050,1,Visa,16-Aug,804,Aisha,J,Binette,63132,314-200-3530,HouseMart_2191,1504587404
1/1/2015,08:39:27,4916150441765600,1391,Visa,19-Aug,922,Kurt,G,White,80265,303-218-8640,HouseMart_2191,1506141403
1/1/2015,08:39:28,4716999452437130,1206,Visa,19-Apr,45,Petra,S,Schweitzer,13815,607-337-4912,HouseMart_2191,1531989493
1/1/2015,08:39:29,4916083857771050,202,Visa,16-Aug,804,Aisha,J,Binette,63132,314-200-3530,HouseMart_2191,1575584900
1/1/2015,08:44:37,4556082339874650,19,Visa,18-Mar,825,Plotino,M,Gastelum,78758,512-659-6347,WalmartValpo,1575602452
1/1/2015,08:57:39,5290415059687520,110,MasterCard,16-Nov,931,Steven,V,Gaskin,93901,831-237-7070,WalmartMerrill,1620633861
1/1/2015,09:10:41,5255872561834950,991,MasterCard,18-Sep,933,Arabia,A,Flores,31206,478-636-1222,WalmartValpo,1620688241
1/1/2015,09:17:21,4716784093874830,1,Visa,20-Jan,156,Laura,R,Schreiber,33901,239-418-8097,HouseMart_2191,1624024924
1/1/2015,09:24:01,5309357076378530,93,MasterCard,19-Oct,209,Steffen,C,Fuhrmann,6040,860-647-6792,HouseMart_2000,1680069031
1/1/2015,09:30:41,4532123564763030,172,Visa,19-May,357,Timothy,A,Mann,53085,920-612-8372,ALDI_012A,1700449283
1/1/2015,09:37:21,4716953942260910,1,Visa,16-Jun,724,Aixa,K,Casares,6002,860-328-6005,HouseMart_2191,1738169064
1/1/2015,09:44:01,5158022223825980,478,MasterCard,16-Jan,730,Kristin,A,Bohm,94612,707-893-0481,LegoInsurance,1772030168
1/1/2015,09:50:41,4556266128112640,480,Visa,18-Feb,934,Dion,J,Fuentes,54701,715-533-0103,WalmartValpo,1834474243
1/1/2015,09:57:21,5107071384342310,648,MasterCard,16-Jun,641,John,S,Sweet,27870,252-410-1572,AMZN_F01,1975943898
1/1/2015,10:04:01,5246507027058590,568,MasterCard,20-Dec,663,Maria,S,Davis,33868,941-416-6022,WalmartValpo,1986706875
1/1/2015,10:10:41,5400072051835260,529,MasterCard,19-Aug,953,Gregor,E,Villa,28001,980-581-6060,ALDI_012A,2016566021
1/1/2015,10:17:21,4716784093874830,415,Visa,20-Jan,156,Laura,R,Schreiber,33901,239-418-8097,HouseMart_2191,2026066603
1/1/2015,10:17:21,5134649630113450,859,MasterCard,17-Apr,297,Sharon,M,Ho,10013,917-498-0824,Menards016,2031388360
1/1/2015,10:17:22,4716953942260910,93,Visa,16-Jun,724,Aixa,K,Casares,6002,860-328-6005,HouseMart_2191,2066820524
1/1/2015,10:24:01,4929017413347530,424,Visa,16-Dec,494,Louise,G,Allred,49719,906-484-7851,Town&Coun,2076318587
1/1/2015,10:30:41,5141777348177270,455,MasterCard,17-Jun,435,Vanessa,K,Maurer,77099,281-776-3134,Menards016,2119005552
1/1/2015,10:37:21,5104165611209540,194,MasterCard,19-Feb,619,Ruben,M,Glaser,10578,914-276-4394,AMZN_F01,2201461117
1/1/2015,10:44:01,4929296192617360,930,Visa,16-Oct,705,Vanna,E,Frías,25271,304-531-9475,WalmartMerrill,2202771385
1/1/2015,10:50:41,5155159865181250,999,MasterCard,18-Jul,245,Claudia,B,Redmond,75116,972-296-4574,Menards016,2246277403
1/1/2015,10:57:21,5209201566209100,453,MasterCard,20-Aug,371,Vanessa,S,Vogt,55344,952-829-7113,WalmartValpo,2251108181
1/1/2015,11:04:01,4539038764504740,442,Visa,17-Apr,467,Alvaro,R,Hutchinson,94901,707-302-2053,BOFAATM_NW2301,2274500134
1/1/2015,11:06:38,4485184011978130,1000,Visa,16-Jul,824,Leocadio,Q,Garibay,16101,724-657-5526,westernunion.com,2340166612
1/1/2015,11:06:39,4539093512992630,1000,Visa,17-Oct,263,Luca,M,Pfeifer,46625,574-203-8977,PorterHospital,2348123239
1/1/2015,11:06:40,4916307044908460,1000,Visa,20-Jan,89,Anthony,L,Hoard,61820,217-239-0171,westernunion.com,2357717589
1/1/2015,11:06:41,4929523063334220,1000,Visa,18-Jun,521,Cloe,A,Sánchez,77480,979-647-6558,westernunion.com,2362033329
1/1/2015,11:06:42,4716508629437460,1000,Visa,18-Mar,702,Wayne,P,Branch,46142,317-859-2185,westernunion.com,2410870383
1/1/2015,11:06:43,4716820542158100,1000,Visa,19-Dec,76,Matthew,D,Pierce,6118,860-569-9855,westernunion.com,2456739757
1/1/2015,11:06:44,4916150441765600,1000,Visa,19-Aug,922,Kurt,G,White,80265,303-218-8640,westernunion.com,2460541192
1/1/2015,11:06:45,4716999452437130,1000,Visa,19-Apr,45,Petra,S,Schweitzer,13815,607-337-4912,westernunion.com,2465559555
1/1/2015,11:06:46,4916083857771050,1000,Visa,16-Aug,804,Aisha,J,Binette,63132,314-200-3530,westernunion.com,2473537711
1/1/2015,11:06:47,4716784093874830,1000,Visa,20-Jan,156,Laura,R,Schreiber,33901,239-418-8097,westernunion.com,2478853367
1/1/2015,11:06:48,4716953942260910,1000,Visa,16-Jun,724,Aixa,K,Casares,6002,860-328-6005,westernunion.com,2486561119
1/1/2015,11:10:41,5416626368506750,943,MasterCard,19-Aug,959,Antje,M,Holtzmann,64108,816-405-0561,HouseMart_1115,2494016913
1/1/2015,11:17:21,4556271275781610,755,Visa,18-Jul,280,Eustaquia,L,Lebrón,93721,559-334-1141,WalmartValpo,2503365207
1/1/2015,11:24:01,4539254380528000,163,Visa,19-Nov,210,Tanisha,D,Davey,44902,740-324-0614,BOFAATM_SE1441,2517305023
1/1/2015,11:29:45,4539326766399750,1000,Visa,20-Mar,892,Doyel,B,Torres,78741,512-963-7455,westernunion.com,2517956436
1/1/2015,11:29:46,4716522657412070,1200,Visa,17-Mar,387,Azariel,O,Tello,94143,415-505-0466,westernunion.com,2552679868
1/1/2015,11:29:47,4485325358281760,1,Visa,18-Jun,930,Alfred,B,York,14718,716-595-5931,HouseMart_2191,4816949348
1/1/2015,11:29:51,4485262699204700,1,Visa,19-Apr,33,Maximilian,J,Fruehauf,14489,315-946-1795,HouseMart_2191,5227426758
1/1/2015,11:30:41,5225092284688660,567,MasterCard,17-Apr,55,Philipp,D,Schmid,19020,610-221-0902,WalmartValpo,2623689215
1/1/2015,11:37:21,5308873681628750,916,MasterCard,17-Aug,257,Swen,L,Luft,76248,817-745-8266,HouseMart_2000,2624849228
1/1/2015,11:44:01,4539066982235990,873,Visa,16-Oct,923,Peter,L,Fuerst,53704,608-246-2254,BOFAATM_NW2301,2630986167
1/1/2015,11:50:41,5235771921167870,328,MasterCard,17-Oct,520,James,M,Juarez,36303,334-786-2480,WalmartValpo,2643161606
1/1/2015,11:57:21,5433209395607350,821,MasterCard,17-Nov,501,Benton,M,Bland,11590,917-523-4954,HouseMart_1115,2666420092
1/1/2015,12:04:01,4485548845423560,1,Visa,17-Jul,415,Robert,Y,Braun,60457,630-567-4388,HouseMart_2191,2682069588
1/1/2015,12:10:41,4556801898842900,775,Visa,19-Jul,779,Wayne,J,Allen,79601,325-222-1736,WalmartValpo,2754588942
1/1/2015,12:17:21,4532505514000920,33,Visa,18-Aug,426,Silke,M,Nacht,72210,501-590-3112,HouseMart_1115,2755043726
1/1/2015,12:24:01,5293272289056360,99,MasterCard,18-Jul,758,Dewey,N,Coleman,53151,262-227-6858,WalmartMerrill,2796459848
1/1/2015,12:30:41,4539834582023370,380,Visa,16-Aug,185,Sydney,D,Brazil,23881,757-866-9298,WalmartValpo,2822034402
1/1/2015,12:37:21,5526979052221330,310,MasterCard,17-Nov,756,Aureliano,M,Raya,37211,931-286-3370,WalmartValpo,2844584268
1/1/2015,12:44:01,5418548541874450,951,MasterCard,17-Jan,206,Julia,M,Kuefer,33825,863-664-5780,HouseMart_1115,2858087634
1/1/2015,12:50:41,4929704959023490,22,Visa,20-Oct,173,Jeffrey,B,Lee,12603,914-866-8592,AMZN_F01,2863261184
1/1/2015,12:57:21,4532879005510820,331,Visa,19-Feb,90,Toscana,A,Almaraz,75234,972-243-7815,HouseMart_1115,2914301508
1/1/2015,13:04:01,5133147520578910,455,MasterCard,20-Jan,510,Todd,M,Scott,95202,209-430-6532,Menards016,2938634430
1/1/2015,13:10:41,4916162059886980,1,Visa,17-Mar,489,Lea,B,Cazares,29201,803-978-6052,HouseMart_2191,2948819801
1/1/2015,13:17:21,5399948012017200,106,MasterCard,20-Jun,588,Tanja,N,Hoffmann,4005,207-284-9825,ALDI_012A,2971746004
1/1/2015,13:24:01,4539741595583220,216,Visa,19-May,569,Federica,N,Árias,77002,713-853-6242,WalmartValpo,3215049676
1/1/2015,13:30:41,4716693612365740,1,Visa,19-Dec,64,Jesabel,A,Toledo,30501,770-561-6990,HouseMart_2191,3256484600
1/1/2015,13:37:21,4485354795478850,1,Visa,16-Jun,515,Robert,L,Dawson,33025,786-543-4320,HouseMart_2191,3267986356
1/1/2015,13:44:01,5440791110340500,518,MasterCard,17-Jun,576,Guy,V,Munguia,50448,641-845-0716,LegoInsurance,3276267735
1/1/2015,13:50:41,5353557174994350,475,MasterCard,19-Jan,366,Vanessa,L,Freytag,80030,303-241-1691,HouseMart_2191,3392418220
1/1/2015,13:57:21,5463578535500070,630,MasterCard,19-Feb,64,Nuri,J,Lozano,1880,781-876-9204,BOFAATM_NW2301,3407592863
1/1/2015,14:04:01,4485548845423560,1474,Visa,17-Jul,415,Robert,Y,Braun,60457,630-567-4388,HouseMart_2191,3408328470
1/1/2015,14:04:01,4539011950143730,33,Visa,19-Sep,900,Karolin,J,Reiniger,17401,717-429-0039,ALDI_012A,3449397105
1/1/2015,14:04:21,4916162059886980,460,Visa,17-Mar,489,Lea,B,Cazares,29201,803-978-6052,HouseMart_2191,3453685967
1/1/2015,14:04:41,4716693612365740,59,Visa,19-Dec,64,Jesabel,A,Toledo,30501,770-561-6990,HouseMart_2191,3457358700
1/1/2015,14:05:01,4485354795478850,1050,Visa,16-Jun,515,Robert,L,Dawson,33025,786-543-4320,HouseMart_2191,3466243430
1/1/2015,14:10:41,4929993004843940,673,Visa,17-Feb,579,Stanislao,A,Valenzuela,34448,352-621-4898,AMZN_F01,3475403593
1/1/2015,14:17:21,4916613964376590,179,Visa,16-Apr,841,Maria,L,Mehler,30329,678-215-1788,Town&Coun,3498239655
1/1/2015,14:24:01,5335241484826080,261,MasterCard,18-Feb,395,Lucian,A,Perea,33602,863-508-5866,HouseMart_2191,3524999999
1/1/2015,14:30:41,4929498327840960,210,Visa,18-Feb,154,Johanna,P,Gil,75601,903-555-0958,WalmartMerrill,3530293783
1/1/2015,14:37:21,4929958698387590,57,Visa,18-Jan,639,Jeffrey,M,Ingalls,75202,214-573-0738,AMZN_F01,3533231308
1/1/2015,14:44:01,4532942704051940,134,Visa,17-Jan,283,Delores,J,Gorman,97330,541-205-6408,HouseMart_1115,3606436586
1/1/2015,14:50:41,5454209514796090,118,MasterCard,16-Dec,4,Marina,M,Hertzog,2043,781-741-9124,HouseMart_1115,3640893618
1/1/2015,14:57:21,5532725163551920,22,MasterCard,18-Apr,813,Karolin,M,Fleischer,44654,330-893-1560,WalmartValpo,3650283198
1/1/2015,15:04:01,5315307693890360,80,MasterCard,20-Aug,110,Ileana,B,Williams,7071,973-603-3506,HouseMart_2191,3714428477
1/1/2015,15:10:41,5218028691472150,719,MasterCard,19-Jul,449,Quintilian,F,Zarate,10023,212-721-5156,LegoInsurance,3724894048
1/1/2015,15:17:21,4916602855760980,1,Visa,16-Jan,10,Juliane,S,Wolf,63043,314-504-7296,HouseMart_2191,3745942689
1/1/2015,15:24:01,4916100537649190,1,Visa,16-May,334,Gilberto,J,Simon,36040,334-371-2171,HouseMart_2191,3754924331
1/1/2015,15:28:45,4485548845423560,1000,Visa,17-Jul,415,Robert,Y,Braun,60457,630-567-4388,westernunion.com,3757595474
1/1/2015,15:28:46,4916162059886980,1000,Visa,17-Mar,489,Lea,B,Cazares,29201,803-978-6052,PAYPAL-R15,3760214766
1/1/2015,15:28:47,4716693612365740,1000,Visa,19-Dec,64,Jesabel,A,Toledo,30501,770-561-6990,westernunion.com,3776639539
1/1/2015,15:28:48,4485354795478850,1000,Visa,16-Jun,515,Robert,L,Dawson,33025,786-543-4320,PAYPAL-R15,3820577235
1/1/2015,15:28:49,4916602855760980,1000,Visa,16-Jan,10,Juliane,S,Wolf,63043,314-504-7296,westernunion.com,3828242227
1/1/2015,15:28:50,4916100537649190,1000,Visa,16-May,334,Gilberto,J,Simon,36040,334-371-2171,PAYPAL-R15,3829967816
1/1/2015,15:30:41,5223138639177960,560,MasterCard,20-Mar,166,Gabriele,M,Ritter,94104,650-735-9855,WalmartValpo,3857020551
1/1/2015,15:37:21,5344345422215530,689,MasterCard,17-Oct,488,Tanja,D,Schreiber,30558,706-652-5012,HouseMart_2191,3873084857
1/1/2015,15:44:01,4716364694869980,220,Visa,16-Aug,411,Martin,L,Farber,83501,509-758-2300,PAYPAL-R15,3895138324
1/1/2015,15:50:41,4556392488084730,462,Visa,16-Jun,399,Angie,E,Miller,93274,559-685-9612,HouseMart_2000,3899132040
1/1/2015,15:57:21,5164273374489570,435,MasterCard,17-Mar,972,Rivi,R,Quezada,37211,615-762-8635,Menards016,3928020589
1/1/2015,16:04:01,4485722136974080,284,Visa,20-Apr,607,Viviano,K,Mesa,97205,541-288-1425,AMZN_A123,3974834006
1/1/2015,16:10:41,4539730706400780,161,Visa,17-Jun,634,Daniel,N,Bumgarner,80202,303-955-1178,WalmartValpo,4006454527
1/1/2015,16:17:21,5220137361817780,712,MasterCard,16-Apr,216,Rotrauda,A,Llarnas,49321,616-647-7415,WalmartValpo,4007186134
1/1/2015,16:24:01,5161394738713640,695,MasterCard,20-Jun,512,Matthias,D,Weisz,72210,870-821-4452,Menards016,4049032658
1/1/2015,16:30:41,5506824702536610,450,MasterCard,20-Feb,401,Circe,O,Quintanilla,12207,518-487-2333,Town&Coun,4096050855
1/1/2015,16:37:21,5390595726792280,735,MasterCard,18-Sep,233,Gene,J,Dennett,78237,210-433-0521,ALDI_0014,4106628928
1/1/2015,16:44:01,5475819278557330,36,MasterCard,18-Jun,616,Betty,G,Davis,40507,859-225-6543,BOFAATM_SE1441,4127680783
1/1/2015,16:50:41,5240475648317590,769,MasterCard,19-Jan,865,Tanja,P,Nagel,12885,518-623-4243,WalmartValpo,4169619386
1/1/2015,16:57:21,4539585125775500,223,Visa,18-Sep,704,Candace,S,Brown,29601,864-689-7173,Town&Coun,4186292520
1/1/2015,17:04:01,4539326766399750,1,Visa,20-Mar,892,Doyel,B,Torres,78741,512-963-7455,HouseMart_2191,4220608092
1/1/2015,17:10:41,4532964969476520,320,Visa,16-Jun,908,Markus,J,Schröder,92677,949-349-0409,HouseMart_1115,4233770160
1/1/2015,17:17:21,4539326766399750,1981,Visa,20-Mar,892,Doyel,B,Torres,78741,512-963-7455,HouseMart_2191,4283333107
1/1/2015,17:17:21,4916602855760980,1365,Visa,16-Jan,10,Juliane,S,Wolf,63043,314-504-7296,HouseMart_2191,4321594189
1/1/2015,17:17:21,4556492609362660,322,Visa,20-Jul,696,Thorsten,S,Wagner,38354,662-564-0715,Goodwill,4356512302
1/1/2015,17:17:22,4916100537649190,470,Visa,16-May,334,Gilberto,J,Simon,36040,334-371-2171,HouseMart_2191,4363283230
1/1/2015,17:24:01,4556305993717890,480,Visa,19-Jul,649,Rosalinda,J,McCray,17602,717-239-5306,HouseMart_0037,4365065722
1/1/2015,17:30:41,5104850319103330,128,MasterCard,20-Feb,940,Martino,N,Rico,1730,857-399-3016,AMZN_F01,4371544816
1/1/2015,17:37:21,5220162814422830,516,MasterCard,17-Sep,868,Myriam,A,Olivárez,62821,618-384-1718,WalmartValpo,4432848450
1/1/2015,17:44:01,4556922203484890,621,Visa,20-Jul,46,Constance,D,Eoff,84074,435-843-7903,HouseMart_0037,4447457439
1/1/2015,17:50:41,5336978854094700,950,MasterCard,17-Nov,129,Claudia,S,Schuster,30071,678-768-0547,HouseMart_2191,4462008809
1/1/2015,17:57:21,4485878994410370,962,Visa,19-Dec,641,Wolfgang,T,Brauer,46268,317-728-0089,ALDI_0014,4462690802
1/1/2015,18:04:01,4532989334367920,598,Visa,19-Apr,91,Kristian,C,Rascón,19103,215-851-4946,ALDI_012A,4505392930
1/1/2015,18:10:41,5280709453303930,121,MasterCard,18-Aug,655,Laura,R,Dove,58220,701-265-7300,WalmartMerrill,4505848416
1/1/2015,18:17:21,4716424694466150,762,Visa,19-Jun,41,Erik,D,Bieber,45402,937-356-9446,PAYPAL-R15,4583385388
1/1/2015,18:24:01,5518788365237000,657,MasterCard,18-Dec,86,Jean,T,Rosenberg,32810,386-601-2459,WalmartValpo,4600028711
1/1/2015,18:30:41,5441785735383270,228,MasterCard,20-Mar,386,Kenneth,B,Beeler,94124,925-999-2001,HouseMart_1115,4615058817
1/1/2015,18:37:21,4532538856284670,57,Visa,18-Apr,50,Marko,S,Kuhn,2141,978-615-3348,HouseMart_1115,4655946741
1/1/2015,18:44:01,4539801236725690,207,Visa,18-Feb,451,Trina,J,Maness,56253,320-664-6857,WalmartValpo,4656204865
1/1/2015,18:50:41,5420185402900100,46,MasterCard,20-Feb,765,Muriel,M,Moon,10013,646-286-6127,HouseMart_1115,4689529771
1/1/2015,18:57:21,5359356080248510,422,MasterCard,20-Apr,426,Leontino,A,Viera,94104,408-963-6555,HouseMart_2191,4710682889
1/1/2015,19:04:01,4716224667700320,735,Visa,19-Oct,64,Dorothea,K,Lee,35203,205-328-1906,PAYPAL-R15,4727686813
1/1/2015,19:10:41,5530606101222740,812,MasterCard,20-Mar,978,Marko,K,Schröder,2141,617-504-4068,WalmartValpo,4736976268
1/1/2015,19:17:21,5207336876481550,298,MasterCard,19-Aug,138,Maik,J,Schulze,46804,260-706-2780,BOFAATM_NE4443,4790577656
1/1/2015,19:24:01,4716522657412070,1,Visa,17-Mar,387,Azariel,O,Tello,94143,415-505-0466,HouseMart_2191,4795416033
1/1/2015,19:30:51,4485325358281760,850,Visa,18-Jun,930,Alfred,B,York,14718,716-595-5931,westernunion.com,2571228953
1/1/2015,19:34:01,4716522657412070,757,Visa,17-Mar,387,Azariel,O,Tello,94143,415-505-0466,HouseMart_2191,4831392667
1/1/2015,19:34:41,4485325358281760,626,Visa,18-Jun,930,Alfred,B,York,14718,716-595-5931,HouseMart_2191,4845840850
1/1/2015,19:37:21,4485939244735320,153,Visa,18-Jun,758,Dwight,M,Wotring,21113,301-912-1387,ALDI_0014,4869833038
1/1/2015,19:44:01,5492807932496200,559,MasterCard,17-May,375,Yeneko,N,Soliz,18966,215-357-3690,HouseMart_2191,4871178638
1/1/2015,19:50:41,5502099984665270,174,MasterCard,18-Jul,884,Daniela,L,Scholz,46135,765-720-6577,PAYPAL-R15,4875724680
1/1/2015,19:57:21,5113515662554440,455,MasterCard,16-Jan,11,Victorino,A,Pedroza,95134,925-438-7579,AMZN_F01,4879054841
1/1/2015,20:04:01,4532475910541000,320,Visa,19-Aug,32,Erik,A,Beike,35203,256-619-6823,HouseMart_1115,4921234328
1/1/2015,20:10:41,4556100337093080,288,Visa,16-Nov,839,Roberta,L,Potts,48933,517-363-3540,WalmartValpo,4941810598
1/1/2015,20:17:21,5180647562725310,392,MasterCard,20-Oct,171,Shirley,T,Bigger,75219,214-523-4651,Menards016,4976944329
1/1/2015,20:24:01,4532579609561250,359,Visa,18-Sep,710,Dorothy,R,Carter,15219,412-544-4235,HouseMart_1115,5016496344
1/1/2015,20:30:41,5194193932481270,58,MasterCard,16-Jul,255,Dieter,L,Schroeder,76701,254-393-3968,BOFAATM_NE4443,5030979847
1/1/2015,20:37:21,5365186682485630,622,MasterCard,19-Nov,605,Eugene,R,Brewer,26847,304-257-1834,AMZN_A123,5128418374
1/1/2015,20:44:01,4716056714440860,549,Visa,19-Sep,884,Raymond,M,Brown,95605,916-912-9531,HouseMart_0037,5197129470
1/1/2015,20:50:41,4929862584166000,462,Visa,16-Oct,636,Teresita,R,Menchaca,13901,607-821-1614,AMZN_F01,5203013411
1/1/2015,20:57:21,4485262699204700,1000,Visa,19-Apr,33,Maximilian,J,Fruehauf,14489,315-946-1795,westernunion.com,2598887716
1/1/2015,21:04:01,5389956334595960,671,MasterCard,18-Apr,98,Irma,C,Paredes,7701,908-660-7539,ALDI_0014,5299124991
1/1/2015,21:10:41,5153757882736890,847,MasterCard,18-May,857,David,M,Pilger,58469,701-396-4119,Menards016,5303428963
1/1/2015,21:17:21,4929608635062300,932,Visa,17-Jun,272,Michele,J,Hamdan,8876,732-309-8930,AMZN_F01,5348330649
1/1/2015,21:24:01,5555676713278450,835,MasterCard,17-Apr,295,Leon,M,Amsel,31768,229-890-6415,HouseMart_0037,5369689015
1/1/2015,21:30:41,5477229956832430,720,MasterCard,20-Jan,49,Matthias,S,Weiß,63090,636-390-8810,BOFAATM_SE1441,5385057888
1/1/2015,21:37:21,4556714789267460,229,Visa,17-May,460,Anna,E,Wirth,60477,708-342-5903,WalmartValpo,5386588226
1/1/2015,21:44:01,4916928923590120,323,Visa,17-Mar,981,Julia,L,Bauer,12207,518-691-6004,Town&Coun,5393801995
1/1/2015,21:50:41,4929542605540860,449,Visa,16-Jun,284,Anna,K,Schmidt,45202,513-665-5654,AMZN_F01,5434741680
1/1/2015,21:57:21,5258923105620010,234,MasterCard,19-May,540,Lori,L,Gilpin,46410,219-757-5483,WalmartValpo,5465352011
